Incident_ID,Civilian_Officer,ORI,Gender,Race_Ethnic_Group,Asian_Race,Age,Injured,Injury_Level,Injury_Type,Medical_Aid,Injury_From_Preexisting_Condition,Received_Force_Location,Order_Of_Force_Specified,Order_Of_Force_Str,Received_Force,Received_Force_Type,DISCHARGE_OF_FIREARM_INDIVIDUAL,DISCHARGE_OF_FIREARM_INCIDENT,CIVILIAN_Mental_Status,CIVILIAN_Assaulted_Officer,CIVILIAN_Highest_Charge,CIVILIAN_Crime_Qualifier,CIVILIAN_Perceived_Armed,CIVILIAN_Perceived_Armed_Weapon,CIVILIAN_Firearm_Type,CIVILIAN_Resisted,CIVILIAN_Resistance_Type,CIVILIAN_Custody_Status,CIVILIAN_Confirmed_Armed,CIVILIAN_Confirmed_Armed_Weapon,CIVILIAN_K12_Type,OFFICER_Officer_Used_Force,OFFICER_Officer_Used_Force_Reason,OFFICER_On_Duty,OFFICER_Dress
URSUS-10-0500-2016-HMX,Officer,CA0100500,Male,Hispanic,,46-50,FALSE,,,,,(Not applicable),,,TRUE,Discharge of firearm (miss),TRUE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Tactical
URSUS-10-0500-2016-JAD,Civilian,CA0100500,Male,White,,18-20,TRUE,Death,Gunshot wound,Admitted to hospital - critical injuries,FALSE,"Front upper torso/chest, Rear upper torso/back, Front lower torso/abdomen",,,TRUE,Discharge of firearm (hit),TRUE,TRUE,Signs of mental disability,TRUE,,,TRUE,"Firearm, Other dangerous weapon",,TRUE,Active resistance,Deceased,FALSE,,,,,,
URSUS-10-0500-2016-JAD,Officer,CA0100500,Male,Hispanic,,46-50,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-10-0500-2016-JAD,Officer,CA0100500,Male,Hispanic,,46-50,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-10-0500-2016-JSM,Civilian,CA0100500,Male,Hispanic,,26-30,TRUE,Serious bodily injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,Head,,,TRUE,K-9 contact,FALSE,FALSE,None,FALSE,10851(A) VC VEHICLE THEFT (FELONY),00BENCH WARRANT XXBENCH WARRANT ZZZZ AC01,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-10-0500-2016-JSM,Officer,CA0100500,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Utility
URSUS-10-0500-2016-KFJ,Civilian,CA0100500,Male,Hispanic,,21-25,TRUE,Serious bodily injury,Gunshot wound,Admitted to hospital - critical injuries,FALSE,Front lower torso/abdomen,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,"Signs of mental disability, Signs of drug impairment, Signs of alcohol impairment",FALSE,211 PC ROBBERY (FELONY),664 (A) PCATTEMPT TO COMMIT FELONY ATTEMPTED YJ01,TRUE,"Knife, blade, or stabbing instrument",,TRUE,Assaultive,In custody (other),TRUE,"Knife, blade, or stabbing instrument",,,,,
URSUS-10-0500-2016-KFJ,Officer,CA0100500,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-10-0500-2016-MDU,Civilian,CA0100500,Male,Asian / Pacific Islander,Laotian,31-35,TRUE,Injury,Gunshot wound,Medical assistance - treated at facility and released,FALSE,Head,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,None,TRUE,422(A) PC THRTN CRIME:INT:TERRORIZE (FELONY),,TRUE,Firearm,,TRUE,Assaultive,In custody (other),TRUE,Firearm replica,,,,,
URSUS-10-0500-2016-MDU,Officer,CA0100500,Male,White,,21-25,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-10-0500-2016-NPA,Civilian,CA0100500,Male,Hispanic,,26-30,FALSE,,,,,(Not applicable),,,TRUE,Discharge of firearm (miss),TRUE,TRUE,None,TRUE,245(D)(1) PC ASLT PO W/FIREARM (FELONY),,TRUE,Firearm,Handgun,TRUE,Assaultive,In custody (other),TRUE,Firearm,,,,,
URSUS-10-0500-2016-NPA,Officer,CA0100500,Male,White,,31-35,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Plainclothes
URSUS-10-0500-2016-QGP,Civilian,CA0100500,Male,Black,,18-20,FALSE,,,,,"Rear upper torso/back, Arms/hands ",,,TRUE,Other control hold/takedown,FALSE,FALSE,None,TRUE,217.1(A) PC ASSAULT PUBLIC OFFICIAL (FELONY),,FALSE,,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-10-0500-2016-QGP,Officer,CA0100500,Male,White,,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-10-0500-2016-QGP,Officer,CA0100500,Male,White,,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-10-0500-2016-QGP,Officer,CA0100500,Male,White,,36-40,TRUE,Serious bodily injury,Unconscious,Medical assistance - treated at facility and released,FALSE,Head,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,FALSE,,TRUE,Patrol Uniform
URSUS-10-0500-2016-SHW,Civilian,CA0100500,Male,Hispanic,,31-35,TRUE,Death,Gunshot wound,Admitted to hospital - critical injuries,FALSE,Front upper torso/chest,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,None,TRUE,,,TRUE,Firearm,Handgun,TRUE,Active resistance,Deceased,TRUE,Firearm,,,,,
URSUS-10-0500-2016-SHW,Officer,CA0100500,Male,White,,36-40,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Plainclothes
URSUS-10-0500-2016-TTU,Civilian,CA0100500,Male,"American Indian, Hispanic",,46-50,TRUE,Serious bodily injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Front legs/feet, Rear legs",,,TRUE,K-9 contact,FALSE,FALSE,None,FALSE,273.5(A) PC CRPL INJ:SPOUS/COHAB/DATE (FELONY),,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-10-0500-2016-TTU,Officer,CA0100500,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Utility
URSUS-10-0500-2016-WSJ,Civilian,CA0100500,Male,Black,,26-30,TRUE,Injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Rear upper torso/back, Arms/hands ",,,TRUE,Other control hold/takedown,FALSE,FALSE,None,TRUE,69 PC OBSTRUCT/RESIST EXEC OFF (FELONY),,FALSE,,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-10-0500-2016-WSJ,Officer,CA0100500,Male,Hispanic,,46-50,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-10-0500-2016-WSJ,Officer,CA0100500,Male,Hispanic,,26-30,TRUE,Injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,Head,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,FALSE,,TRUE,Patrol Uniform
URSUS-10-0500-2016-WSJ,Officer,CA0100500,Male,White,,46-50,TRUE,Serious bodily injury,"Contusion, Internal injury, Abrasion/Laceration",Medical assistance - treated at facility and released,FALSE,"Head, Arms/hands , Front legs/feet",,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-10-0500-2016-ZUT,Civilian,CA0100500,Male,Asian / Pacific Islander,Other Asian,21-25,TRUE,Serious bodily injury,Gunshot wound,Admitted to hospital - critical injuries,FALSE,Head,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,Signs of mental disability,TRUE,71 PC THREATN SCH/PUB OFCR/EMPL (FELONY),,TRUE,Firearm,Handgun,TRUE,Assaultive,In custody (other),TRUE,Firearm,,,,,
URSUS-10-0500-2016-ZUT,Officer,CA0100500,Male,Asian / Pacific Islander,Filipino,41-45,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-10-0600-2016-XHU,Civilian,CA0100600,Male,Hispanic,,26-30,TRUE,Serious bodily injury,"Abrasion/Laceration, Gunshot wound",Admitted to hospital - other circumstance,FALSE,Head,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,Signs of alcohol impairment,TRUE,245(A)(1) PC ADW NOT FIREARM (FELONY),,TRUE,"Knife, blade, or stabbing instrument",,TRUE,Active resistance,In custody (other),TRUE,"Knife, blade, or stabbing instrument",,,,,
URSUS-10-0600-2016-XHU,Officer,CA0100600,Male,"Hispanic, White",,46-50,FALSE,,,,,Arms/hands,,,TRUE,Civilian physical contact,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-10-1100-2016-PAR,Civilian,CA0101100,Male,Hispanic,,36-40,TRUE,Serious bodily injury,Obvious disfigurement,Admitted to hospital - precautionary measure only,FALSE,Arms/hands,,,TRUE,K-9 contact,FALSE,FALSE,None,FALSE,459 PC BURGLARY (FELONY),,TRUE,Unknown,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-10-1100-2016-PAR,Officer,CA0101100,Male,Hispanic,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-11-0100-2016-PAX,Civilian,CA0110100,Male,White,,31-35,TRUE,Injury,"Contusion, Abrasion/Laceration",No medical assistance or refused assistance,,"Arms/hands, Front legs/feet, Rear legs",FALSE,,TRUE,"Other control hold/takedown, Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,"Signs of mental disability, Signs of drug impairment",TRUE,243(C)(2) PC BATTERY AGAINST PO (FELONY),,FALSE,,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-11-0100-2016-PAX,Officer,CA0110100,Male,"Black, White",,31-35,TRUE,Injury,Abrasion/Laceration,Medical assistance - treated on scene,FALSE,"Arms/hands, Front legs/feet",,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-11-0100-2016-PAX,Officer,CA0110100,Male,White,,41-45,FALSE,,,,,"Front upper torso/chest, Arms/hands",,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-11-0100-2016-PAX,Officer,CA0110100,Male,White,,46-50,TRUE,Serious bodily injury,"Bone fracture, Abrasion/Laceration",Medical assistance - treated at facility and released,FALSE,Arms/hands,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Utility
URSUS-11-0100-2016-TBK,Civilian,CA0110100,Female,White,,46-50,TRUE,Serious bodily injury,Bone fracture,Medical assistance - treated at facility and released,FALSE,"Arms/hands, Front legs/feet",TRUE,"Other control hold/takedown -> Other physical contact (Use of hands, fists, feet, etc)",TRUE,"Other control hold/takedown, Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,"Signs of mental disability, Signs of physical disability, Signs of alcohol impairment",FALSE,422(A) PC THRTN CRIME:INT:TERRORIZE (FELONY),,TRUE,"Knife, blade, or stabbing instrument",,TRUE,Active resistance,In custody (other),TRUE,"Knife, blade, or stabbing instrument",,,,,
URSUS-11-0100-2016-TBK,Officer,CA0110100,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-11-0100-2016-TBK,Officer,CA0110100,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-12-0000-2016-EWA,Civilian,CA0120000,Male,American Indian,,31-35,FALSE,,,,,(Not applicable),,,TRUE,Discharge of firearm (miss),TRUE,TRUE,"Signs of mental disability, Signs of drug impairment",FALSE,245(A)(2) PC ASLT W/FIREARM ON PERSON (FELONY),,TRUE,Firearm,Handgun,TRUE,,In custody (other),TRUE,Firearm,,,,,
URSUS-12-0000-2016-EWA,Officer,CA0120000,Male,American Indian,,36-40,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-12-0000-2016-RKX,Civilian,CA0120000,Male,White,,56-60,TRUE,Death,Gunshot wound,Medical assistance - treated on scene,FALSE,Front upper torso/chest,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,"Signs of mental disability, Signs of drug impairment",FALSE,,,TRUE,Firearm,Rifle,TRUE,,Deceased,TRUE,Firearm,,,,,
URSUS-12-0000-2016-RKX,Officer,CA0120000,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Tactical
URSUS-12-0100-2016-DYT,Civilian,CA0120100,Male,White,,26-30,TRUE,Serious bodily injury,"Internal injury, Gunshot wound",Admitted to hospital - critical injuries,FALSE,Front lower torso/abdomen,TRUE,Electronic control device -> Discharge of firearm (hit),TRUE,"Electronic control device, Discharge of firearm (hit)",TRUE,TRUE,"Signs of drug impairment, Signs of alcohol impairment",TRUE,245(C) PC ADW NOT F/ARM:PO/FIRE:GBI (FELONY) ADW,,TRUE,Other dangerous weapon,,TRUE,Life-threatening,In custody (other),TRUE,Other dangerous weapon,,,,,
URSUS-12-0100-2016-DYT,Officer,CA0120100,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-12-0100-2016-DYT,Officer,CA0120100,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-12-0300-2016-CZA,Civilian,CA0120300,Male,White,,26-30,TRUE,Serious bodily injury,Gunshot wound,Admitted to hospital - critical injuries,FALSE,Front upper torso/chest,TRUE,Discharge of firearm (hit) -> Discharge of firearm (miss),TRUE,"Discharge of firearm (miss), Discharge of firearm (hit)",TRUE,TRUE,None,TRUE,417.8 PC EXH F/ARM/ETC:RSIST AREST (FELONY),12022(A)(1) PCINVOLVE FIREARM:ARMED OR NOT WEAPON TO01,TRUE,Firearm,Handgun,TRUE,Life-threatening,In custody (other),TRUE,Firearm,,,,,
URSUS-12-0300-2016-CZA,Officer,CA0120300,Male,White,,56-60,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Plainclothes
URSUS-12-0300-2016-CZA,Officer,CA0120300,Male,White,,36-40,FALSE,,,,,(Not applicable),,,TRUE,Civilian vehicle contact,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-12-0300-2016-CZA,Officer,CA0120300,Male,White,,31-35,FALSE,,,,,(Not applicable),,,TRUE,"Civilian vehicle contact, Threat of firearm",FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-12-0300-2016-CZA,Officer,CA0120300,Male,White,,41-45,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-13-0100-2016-MFA,Civilian,CA0130100,Male,Hispanic,,26-30,TRUE,Injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,Rear upper torso/back,FALSE,,TRUE,"Other control hold/takedown, Electronic control device",FALSE,FALSE,"Signs of drug impairment, Signs of alcohol impairment",TRUE,240/242 PC ASSAULT & BATTERY (MISDEMEANOR),,FALSE,,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-13-0100-2016-MFA,Officer,CA0130100,Male,Asian / Pacific Islander,Vietnamese,26-30,TRUE,Serious bodily injury,Obvious disfigurement,Admitted to hospital - other circumstance,FALSE,Head,,,TRUE,"Civilian physical contact, Other dangerous weapon",FALSE,FALSE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-13-0100-2016-WJS,Civilian,CA0130100,Male,Hispanic,,31-35,TRUE,Death,Gunshot wound,Admitted to hospital - critical injuries,FALSE,Front upper torso/chest,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,None,TRUE,,,TRUE,Firearm,,TRUE,Life-threatening,Deceased,TRUE,"Knife, blade, or stabbing instrument",,,,,
URSUS-13-0100-2016-WJS,Officer,CA0130100,Male,White,,26-30,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-13-0100-2016-WJS,Officer,CA0130100,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,FALSE,,TRUE,Patrol Uniform
URSUS-13-0100-2016-WJS,Officer,CA0130100,Male,White,,26-30,FALSE,,,,,(Not applicable),,,TRUE,"Knife, blade, or stabbing instrument",FALSE,TRUE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-14-0000-2016-YJV,Civilian,CA0140000,Male,American Indian,,41-45,TRUE,Serious bodily injury,"Unconscious, Contusion, Obvious disfigurement, Gunshot wound",Admitted to hospital - critical injuries,FALSE,Head,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,Signs of alcohol impairment,TRUE,245(A)(1) PC ADW NOT FIREARM (FELONY),UNKNOWN,TRUE,Firearm,Handgun,TRUE,Life-threatening,In custody (other),TRUE,Firearm,,,,,
URSUS-14-0000-2016-YJV,Officer,CA0140000,Male,White,,41-45,FALSE,,,,,(Not applicable),,,TRUE,Discharge of firearm (miss),TRUE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-15-0000-2016-JWU,Civilian,CA0150000,Male,White,,31-35,TRUE,Serious bodily injury,Gunshot wound,Medical assistance - treated at facility and released,FALSE,Front lower torso/abdomen,,,TRUE,Discharge of firearm (hit),TRUE,TRUE,None,TRUE,,,TRUE,"Firearm, Unknown",,TRUE,Active resistance,None of these,FALSE,,,,,,
URSUS-15-0000-2016-JWU,Officer,CA0150000,Male,Hispanic,,31-35,FALSE,,,,,Arms/hands,,,TRUE,Civilian physical contact,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-15-0000-2016-PYA,Civilian,CA0150000,Male,White,,31-35,TRUE,Serious bodily injury,Gunshot wound,Admitted to hospital - other circumstance,FALSE,"Arms/hands, Front legs/feet",,,TRUE,Discharge of firearm (hit),TRUE,TRUE,None,TRUE,664/187(A),,TRUE,Firearm,Shotgun,TRUE,Life-threatening,In custody (other),TRUE,Firearm,,,,,
URSUS-15-0000-2016-PYA,Officer,CA0150000,Male,Hispanic,,26-30,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-15-0000-2016-PYA,Officer,CA0150000,Male,White,,26-30,FALSE,,,,,(Not applicable),,,TRUE,Threat of firearm,FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Patrol Uniform
URSUS-15-013G-2016-QHH,Civilian,CA015013G,Male,Hispanic,,17-Oct,TRUE,Serious bodily injury,Bone fracture,Medical assistance - treated at facility and released,FALSE,Arms/hands,,,TRUE,Other control hold/takedown,FALSE,FALSE,None,FALSE,PC 29610,,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-15-013G-2016-QHH,Officer,CA015013G,Male,Hispanic,,36-40,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Utility
URSUS-15-0200-2016-APB,Civilian,CA0150200,Male,Black,,41-45,TRUE,Serious bodily injury,Bone fracture,Medical assistance - treated at facility and released,FALSE,"Front upper torso/chest, Arms/hands , Front legs/feet",FALSE,,TRUE,"Other control hold/takedown, Blunt / impact weapon, Electronic control device",FALSE,FALSE,Signs of alcohol impairment,TRUE,241(B) PC ASLT PO/EMERG PRSNL/ETC (MISDEMEANOR),,TRUE,Other dangerous weapon,,TRUE,Assaultive,In custody (other),TRUE,Other dangerous weapon,,,,,
URSUS-15-0200-2016-APB,Officer,CA0150200,Male,"Black, White",,21-25,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-15-0200-2016-APB,Officer,CA0150200,Male,Hispanic,,21-25,FALSE,,,,,Head,,,TRUE,"Civilian physical contact, Other dangerous weapon",FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-15-0200-2016-BJN,Civilian,CA0150200,Male,Hispanic,,31-35,TRUE,Serious bodily injury,Bone fracture,Medical assistance - treated at facility and released,FALSE,"Arms/hands , Front legs/feet",FALSE,,TRUE,"Other control hold/takedown, Blunt / impact weapon, Chemical spray (e.g. OC/CS)",FALSE,FALSE,None,FALSE,460(A) PC BURGLARY:FIRST DEGREE (FELONY),,FALSE,,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-15-0200-2016-BJN,Officer,CA0150200,Male,Hispanic,,36-40,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-15-0200-2016-BJN,Officer,CA0150200,Male,White,,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-15-0200-2016-BJN,Officer,CA0150200,Male,White,,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-15-0200-2016-BMZ,Civilian,CA0150200,Male,Hispanic,,41-45,TRUE,Serious bodily injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Rear upper torso/back, Arms/hands , Front legs/feet",FALSE,,TRUE,"Other control hold/takedown, K-9 contact",FALSE,FALSE,None,FALSE,11377(A) HS POSS CONTROLLED SUBSTANCE (FELONY),,TRUE,Unknown,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-15-0200-2016-BMZ,Officer,CA0150200,Male,Hispanic,,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape",TRUE,Patrol Uniform
URSUS-15-0200-2016-BMZ,Officer,CA0150200,Male,White,,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape",TRUE,Patrol Uniform
URSUS-15-0200-2016-BRH,Civilian,CA0150200,Male,Hispanic,,61-65,TRUE,Death,"Unconscious, Internal injury",Admitted to hospital - critical injuries,FALSE,"Head, Front lower torso/abdomen",FALSE,,TRUE,"Carotid restraint control hold, Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,None,FALSE,,,TRUE,"Knife, blade, or stabbing instrument",,TRUE,Life-threatening,Deceased,TRUE,"Knife, blade, or stabbing instrument",,,,,
URSUS-15-0200-2016-BRH,Officer,CA0150200,Male,White,,21-25,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-15-0200-2016-BRH,Officer,CA0150200,Male,White,,31-35,FALSE,,,,,Arms/hands,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-15-0200-2016-BYB,Civilian,CA0150200,Male,White,,41-45,TRUE,Death,Gunshot wound,Medical assistance - treated on scene,FALSE,"Front upper torso/chest, Arms/hands ",,,TRUE,Discharge of firearm (hit),TRUE,TRUE,None,TRUE,,,TRUE,"Knife, blade, or stabbing instrument",,TRUE,Life-threatening,Deceased,TRUE,"Knife, blade, or stabbing instrument",,,,,
URSUS-15-0200-2016-BYB,Officer,CA0150200,Male,White,,46-50,FALSE,,,,,(Not applicable),,,TRUE,"Knife, blade, or stabbing instrument",FALSE,TRUE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Plainclothes
URSUS-15-0200-2016-CBX,Civilian,CA0150200,Male,Hispanic,,21-25,TRUE,Injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Head, Front upper torso/chest, Rear upper torso/back, Rear below waist/buttocks, Arms/hands , Front legs/feet, Rear legs",FALSE,,TRUE,"Other control hold/takedown, Other physical contact (Use of hands, fists, feet, etc), Electronic control device",FALSE,FALSE,Signs of drug impairment,TRUE,69 PC OBSTRUCT/RESIST EXEC OFCR (MISDEMEANOR),,FALSE,,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-15-0200-2016-CBX,Officer,CA0150200,Male,White,,21-25,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-15-0200-2016-CBX,Officer,CA0150200,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
URSUS-15-0200-2016-CBX,Officer,CA0150200,Male,Hispanic,,21-25,TRUE,Serious bodily injury,Bone fracture,Medical assistance - treated at facility and released,FALSE,Head,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Patrol Uniform
